"","id","stNumber","stName","type","capacity"
"310",7625969,38,"the esplanade","Ring",1
"311",7625970,38,"the esplanade","Ring",1
"312",7625971,98,"the esplanade","Ring",1
"313",7625972,98,"the esplanade","Ring",1
"314",7625973,98,"the esplanade","Ring",1
"315",7625974,98,"the esplanade","Ring",1
"316",7625975,189,"the esplanade","Ring",1
"317",7625976,150,"york st","Ring",1
"318",7625977,150,"york st","Ring",1
"319",7625978,480,"dundas st e","Ring",1
"320",7625979,159,"yonge st","Ring",1
"321",7625980,159,"yonge st","Ring",1
"322",7625981,320,"bay st","Ring",1
"323",7625982,320,"bay st","Ring",1
"324",7625983,895,"bloor st w","Ring",1
"325",7625984,891,"bloor st w","Ring",1
"326",7625985,924,"bloor st w","Ring",1
"327",7625986,864,"bathurst st","Ring",1
"328",7625987,864,"bathurst st","Ring",1
"329",7625988,689,"bloor st w","Ring",1
"330",7625989,699,"bloor st w","Ring",1
"331",7625990,699,"bloor st w","Ring",1
"332",7625991,759,"dovercourt rd","Ring",1
"333",7625992,979,"bloor st w","Ring",1
"334",7625993,953,"ossington ave","Ring",1
"335",7625994,283,"spadina ave",NA,1
"336",7625995,105,"victoria st",NA,1
"337",7625996,200,"front st w","Ring",1
"338",7625997,200,"front st w","Ring",1
"339",7625998,1079,"weston rd","Ring",1
"340",7625999,49,"grange ave","Ring",1
"341",7626000,1545,"bayview ave","Ring",1
"342",7626001,49,"grange ave","Ring",1
"343",7626002,49,"grange ave","Ring",1
"344",7626003,5,"widmer st","Ring",1
"345",7626004,5,"widmer st","Ring",1
"346",7626005,1545,"bayview ave","Ring",1
"347",7626006,549,"danforth ave","Ring",1
"348",7626007,549,"danforth ave","Ring",1
"349",7626008,549,"danforth ave","Ring",1
"350",7626009,4759,"yonge st","Ring",1
"351",7626010,1215,"bay st","Ring",1
"352",7626011,1215,"bay st","Ring",1
"353",7626012,1215,"bay st","Ring",1
"354",7626013,1215,"bay st","Ring",1
"355",7626014,129,"peter st","Ring",1
"356",7626015,129,"peter st","Ring",1
"357",7626016,129,"peter st","Ring",1
"358",7626017,655,"bay st","Ring",1
"359",7626018,289,"niagara st","Ring",1
"360",7626019,100,"western battery rd","Ring",1
"361",7626020,976,"college st","Ring",1
"362",7626021,976,"college st","Ring",1
"363",7626022,958,"college st","Ring",1
"364",7626023,928,"college st","Ring",1
"365",7626024,816,"college st","Ring",1
"366",7626025,928,"college st","Ring",1
"367",7626026,1004,"college st","Ring",1
"368",7626027,136,"isabella st","Ring",1
"369",7626028,257,"jarvis st","Ring",1
"370",7626029,1004,"college st","Ring",1
"371",7626030,257,"jarvis st","Ring",1
"372",7626031,132,"jarvis st","Ring",1
"373",7626032,135,"yorkville ave","Ring",1
"374",7626033,132,"jarvis st","Ring",1
"375",7626034,230,"college st","Ring",1
"376",7626035,258,"eglinton ave e","Ring",1
"377",7626036,585,"queens quay w",NA,1
"378",7626037,31,"brock ave","Rack",1
"379",7626038,1431,"bathurst st",NA,1
"380",7626039,149,"baldwin st",NA,1
"381",7626040,819,"bathurst st",NA,1
"382",7626041,819,"bathurst st",NA,1
"383",7626042,180,"elizabeth st",NA,1
"384",7626043,237,"queen st e",NA,1
"385",7626044,1775,"eglinton ave w",NA,1
"386",7626045,759,"mount pleasant rd","Ring",1
"387",7626046,1892,"eglinton ave w","Ring",1
"388",7626047,720,"mount pleasant rd",NA,1
"389",7626048,700,"university ave",NA,1
"390",7626049,794,"mount pleasant rd","Ring",1
"391",7626051,2210,"yonge st","Ring",1
