_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5914959,1548,BP-19507,1230,Dundas St W,Dundas St W,North,Dovercourt Rd,East,,9.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4234216157, 43.6494719737)}"
5914960,1549,BP-19509,1241,Dundas St W,Dundas St W,South,Grove Ave,West,,10.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4236820537, 43.6493522497)}"
5914961,1550,BP-19511,1239,Dundas St W,Dundas St W,South,Grove Ave,West,,10.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4235103852, 43.6493359505)}"
5914962,1551,BP-19512,1239,Dundas St W,Dundas St W,South,Grove Ave,West,,10.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4235418208, 43.6493370787)}"
5914963,1552,BP-19513,1239,Dundas St W,Dundas St W,South,Grove Ave,West,,10.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4235718429, 43.649338521)}"
5914964,1553,BP-19514,1229,Dundas St W,Dundas St W,South,Grove Ave,West,,10.0,Little Portugal,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4233962677, 43.6493334167)}"
5914965,1554,BP-19515,55,Halton St,Ossington Ave,East,Halton St,South,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4201199352, 43.6479068975)}"
5914966,1555,BP-19516,55,Halton St,Ossington Ave,East,Halton St,South,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4201111013, 43.64788482)}"
5914967,1556,BP-19517,55,Halton St,Ossington Ave,East,Halton St,South,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4201034539, 43.6478654167)}"
5914968,1557,BP-19518,55,Halton St,Ossington Ave,East,Halton St,South,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4200960783, 43.6478467067)}"
5914969,1558,BP-19519,55,Halton St,Ossington Ave,East,Halton St,South,,10.0,Ossington Avenue,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4200891598, 43.6478291222)}"
5914970,1559,BP-19521,176,Bellwoods Ave,Dundas St W,South,Bellwoods Ave,West,,10.0,Trinity-Bellwoods,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4129328191, 43.6508269572)}"
5914971,1560,BP-19522,176,Bellwoods Ave,Dundas St W,South,Bellwoods Ave,West,,10.0,Trinity-Bellwoods,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4129570496, 43.6508217639)}"
5914972,1561,BP-19523,866,Dundas St W,Dundas St W,North,Manning Ave,East,,11.0,Trinity-Bellwoods,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.410748104, 43.6514082275)}"
5914973,1562,BP-19524,862,Dundas St W,Dundas St W,North,Manning Ave,East,,11.0,Trinity-Bellwoods,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4107181811, 43.6514146401)}"
5914974,1563,BP-19525,862,Dundas St W,Dundas St W,North,Manning Ave,East,,11.0,Trinity-Bellwoods,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.410691098, 43.6514204428)}"
5914975,1565,BP-19529,85,Richmond St W,Richmond St W,South,Sheppard St,West,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3828085011, 43.6507807272)}"
5914976,1566,BP-19530,85,Richmond St W,Richmond St W,South,Sheppard St,West,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3828546997, 43.6507698559)}"
5914977,1567,BP-19663,480,Dundas St E,Dundas St E,North,Regent St,West,,13.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3648457528, 43.6597546655)}"
5914978,1568,BP-19531,85,Richmond St W,Richmond St W,South,Sheppard St,West,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3828940858, 43.6507624252)}"
5914979,1569,BP-19665,229,Queen St E,Sherbourne St,West,Queen St E,South,,13.0,Historic Queen East,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3694812539, 43.6543188893)}"
5914980,1570,BP-19532,133,Richmond St W,Richmond St W,South,York St,West,,10.0,Financial District,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3849736968, 43.6502934865)}"
5914981,1571,BP-19666,229,Queen St E,Sherbourne St,West,Queen St E,South,,13.0,Historic Queen East,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3694723505, 43.6542969518)}"
