"","street","count"
"393","QUEEN ST E",847.78125
"394","QUEEN ST W",1855.65625
"395","QUEENS PARK CR E",426.28125
"396","QUEENS PARK CRES W",312.78125
"397","RADINE RD",107.15625
"398","RALPH ST ",422.875
"399","RATHBURN RD",141.375
"400","REDCLIFF BLVD",23.0625
"401","REDPATH AVE",701.09375
"402","REEVE AVE",144.25
"403","REGENT PARK BLVD",205.34375
"404","REGENT ST",241.9375
"405","REINER RD",113.21875
"406","RICHMOND ST",706.1875
"407","RICHMOND ST E",333.28125
"408","RITCHIE AVE",296.21875
"409","RIVER ST",1573.4375
"410","RIVER ST RAMP",282.125
"411","ROBERT ST",418.4375
"412","ROEHAMPTON AVE",384.625
"413","ROGERS RD",1098.46875
"414","RONCESVALLES AVE",776.75
"415","ROSEBANK DR",148.1875
"416","ROSEDALE VALLEY RD",556.875
"417","ROSEHILL AVE",359.75
"418","ROSELAWN AVE",155.59375
"419","ROSEMOUNT AVE",613.5625
"420","ROSEWELL AVE",411.0625
"421","ROSSEAU RD",30.15625
"422","ROTARY DR",146.78125
"423","ROXBOROUGH ST E",333.25
"424","ROXBOROUGH ST W",353.1875
"425","ROYAL DR",431.75
"426","ROYAL YORK CT AND ROYAL YORK RD",467.9375
"427","ROYAL YORK RD",266.28125
"428","ROYWOOD DR",29.53125
"429","RUNNYMEDE RD",1374.40625
"430","RUSCICA DR",107.9375
"431","RUSSELL ST",273.34375
"432","RUSTIC RD",610.875
"433","RYDING AVE",334.59375
"434","RYLANDER BLVD",519.1875
"435","SACKVILLE ST",362.9375
"436","SALEM AVE",307.125
"437","SALEM AVE N",97.03125
"438","SAMMON AVE",690.9375
"439","SANDHURST CIR",80.75
"440","SANDHURST CIR W",209.71875
"441","SARANAC BLVD",553.375
"442","SASKATOON DR",18.75
"443","SCARBOROUGH GOLF CLUB RD",1236.84375
"444","SCARLETT RD",988.59375
"445","SCOTT RD",366.125
"446","SCOTT ST",628.25
"447","SCRIVENER SQ",356.0625
"448","SELWYN AVE",36.8125
"449","SENECA HILL DR",45.6875
"450","SEWELLS RD",265.90625
"451","SHARPECROFT BLVD",68.9375
"452","SHAUGHNESSY BLVD",700.96875
"453","SHAVER AVE",377.59375
"454","SHAW ST",413
"455","SHEPPARD AVE",5018.75
"456","SHEPPARD AVE E",479.75
"457","SHERBOURNE ST",1041.375
"458","SHOPPERS DRUG MART 47M NORTH OF CHELSEA AVE",391.90625
"459","SHUTER ST",1112.71875
"460","SIBLEY AVE",340.25
"461","SILKWOOD CRES",47.03125
"462","SILVERTHORN AVE",315.28125
"463","SILVERTHORN AVE / ST CLAIR AVE",351.3125
"464","SINGER CRT",136.53125
"465","SLOANE AVE",107.9375
"466","SOMERSET AVE",51.65625
"467","SORAUREN AVE",457.78125
"468","SOUDAN AVE",921.59375
"469","SOUTH STATION ST",357.21875
"470","SPADINA AVE",326.96875
"471","SPADINA AVE AND FORT YORK BLVD",770.5
"472","SPADINA RD",700.46875
"473","SPALDING RD",27.65625
"474","SPENVALLEY DR",86.09375
"475","ST CLAIR AVE",4250.46875
"476","ST CLAIR AVE E",393.375
"477","ST CLAIR AVE W",1129.3125
"478","ST GEORGE ST",273.34375
"479","ST GEORGES RD",48.125
"480","ST HELENS AVE",10.71875
"481","ST JOHNS RD",122.1875
"482","STEELES AVE",2062.8125
"483","STRACHAN AVE",210.71875
"484","SUMACH ST",864.96875
"485","SUMMER DR",203.25
"486","SUNBURST SQ",32.4375
"487","SUNRISE AVE",330.40625
"488","SYMINGTON AVE",884.96875
"489","TAPSCOTT RD",124.4375
"490","TEDDER ST",24.25
"491","TERRAVIEW BLVD",52.8125
"492","THE DONWAY NORTH",392.0625
"493","THE DONWAY W",99.4375
"494","THE EAST MALL",534
"495","THE ESPLANADE",2798.21875
"496","THE QUEENSWAY",803.6875
"497","THE WEST MALL",166.6875
"498","THE WESTWAY",152.09375
"499","THE WYND",141.375
"500","THERMOS RD",273.875
"501","THIRTY-SEVENTH ST",433.875
"502","THORNCLIFFE PARK DR W",487.03125
"503","THREE VALLEYS DR",31.90625
"504","THURODALE AVE",24.25
"505","THYRA AVE",448.5
"506","TORRINGTON DR",87.0625
"507","TOWNSEND RD",634.625
"508","TREHORNE DR",152.09375
"509","TRETHEWEY DR",542.28125
"510","TRINITY ST",424.25
"511","TUBMAN AVE",193.21875
"512","TWEEDSMUIR AVE",519.96875
"513","UNIVERSITY AVE",2154.03125
"514","UPTON RD",341.21875
"515","VARNA DR",601.25
"516","VAUGHAN RD",282.4375
"517","VICTORIA PARK AVE",2971.28125
"518","VINE AVE",25.875
"519","W R ALLEN RD",1287.6875
"520","WALES AVE",39.53125
"521","WALLACE AVE",401.375
"522","WARDEN AVE",3703.125
"523","WELLAND AVE",123.6875
"524","WELLESLEY ST",488.59375
"525","WELLESLEY ST W",1055.3125
"526","WELLESWORTH DR",87.0625
"527","WELLINGTON ST",711.59375
"528","WESTHUMBER BLVD",231.15625
"529","WESTMORELAND AVE N",95.5625
"530","WESTON RD",1384.9375
"531","WESTONA ST",209.5
"532","WESTVIEW BLVD",116.46875
"533","WHITBURN CRES",580.8125
"534","WHITE HEATHER BLVD",80.75
"535","WICKLOW DR E",33.96875
"536","WICKSTEED AVE",144
"537","WIDDICOMBE HILL BLVD",334.28125
"538","WILLIAM R ALLEN RD N",658.9375
"539","WILLIAM R ALLEN RD S",641.59375
"540","WILMINGTON AVE",625.65625
