"stName","trafficCountAvg","trafficlightCount","bikeStationCount","subwayStationCount","bikeShopCount"
"gladstone ave",372.5625,1,8,0,0
"glen rush blvd",475.8125,1,0,0,0
"glenborough park cres e",507.40625,1,0,0,0
"glengrove ave",105.15625,1,0,0,0
"glenhaven st",128.625,1,0,0,0
"glenhurst ave",258.375,1,0,0,0
"glenlake ave",421.53125,1,0,0,0
"glenmount ave",61.625,1,0,0,0
"godstone rd",83.15625,1,0,0,0
"gormley ave",14.90625,1,0,0,0
"government rd",38.09375,1,0,0,0
"grace st",313.625,1,0,0,0
"grantbrook st",417.75,1,0,0,0
"graystone gnds and springbrook gnds",513.6875,1,0,0,0
"greenwood ave",628.65625,1,0,1,0
"groveland cres w",31.90625,1,0,0,0
"hadrian dr",83.8125,1,0,0,0
"hamilton st",206.9375,1,0,0,0
"hanna rd",263.5625,1,0,0,0
"hanson st",52.6875,1,0,0,0
"harris park dr",37.875,1,0,0,0
"havenbrook blvd",32.25,1,0,0,0
"heath st e",123.6875,1,0,0,0
"heath st w",679.0625,2,0,0,0
"helendale ave",149.53125,1,0,0,0
"high park ave",134.6875,1,14,1,0
"highview ave",198.75,1,0,0,0
"highway  s tcs",793.09375,1,0,0,0
"hillingdon ave",52.6875,1,0,0,0
"hillmount ave",61.625,1,0,0,0
"hillsdale ave",112.1875,1,0,0,0
"holland park ave",52.625,1,1,0,0
"hoskin ave",312.78125,1,11,0,0
"hounslow heath rd",351.3125,1,0,0,0
"howard park ave",871.34375,2,1,0,0
"howard park rd",384.09375,1,0,0,0
"howard st",394.625,1,2,0,0
"humber college blvd",147.96875,1,0,0,0
"humberline dr",147.96875,1,0,0,0
"humberside ave",525,1,0,0,0
"huntingwood dr",2914.5625,6,0,0,0
"huntley st",483.90625,1,0,0,0
"indian grove",17.15625,1,0,0,0
"indian valley cr",470.5,1,0,0,0
"indian valley cres",17.15625,1,0,0,0
"irving rd",261.71875,1,0,0,0
"isabella st",340.3125,1,1,0,0
"islington ave",1396.40625,3,0,1,0
"jane st",1062.5,3,1,1,2
"janet blvd",530,1,0,0,0
"janray dr s",12.75,1,0,0,0
"jarvis st",423.53125,1,1,0,0
"joanith dr",9.90625,1,0,0,0
"john st",292.75,1,2,0,1
"jones ave",431.34375,1,0,0,0
"keele st",5126.3125,9,2,1,0
"keewatin ave",786.625,1,0,0,0
"kendleton dr",262.40625,1,0,0,0
"kennedy park rd",421.1875,1,0,0,0
"kennedy rd",852,1,0,1,0
"king georges dr",288.5625,1,0,0,0
"king st",1173.15625,4,0,1,0
"king st e",192.375,1,1,0,0
"king st w",281.125,1,1,0,3
"kingslake rd",83.15625,1,0,0,0
"kingston rd",5840.125,10,1,0,1
"kipling ave",1117.5,1,0,0,0
"knighton dr",60.65625,1,0,0,0
"lake shore blvd",4172.3125,8,2,0,0
"lake shore blvd w",383.9375,1,3,0,2
"lambeth rd",467.9375,1,0,0,0
"lankin blvd",53.71875,1,0,0,0
"lansdowne ave",560.4375,1,1,1,0
"lascelles blvd",14.90625,1,2,0,0
"laurel ave",336.15625,1,0,0,0
"laurelcrest ave",30.15625,1,0,0,0
"lavinia ave",98.28125,1,0,0,0
"lawrence ave",19706.59375,30,0,1,0
"lawrence ave e",1160.125,4,0,0,1
"lawrence ave w",3440.46875,3,0,0,0
"ledbury st",500.375,1,0,0,0
"lee ave",407.09375,1,2,0,0
"legion rd",332.40625,1,0,0,0
"leslie st",2053.0625,5,1,1,0
"lightbourn ave",27.9375,1,0,0,0
"linsmore cr",48.15625,1,0,0,0
"linus rd",45.6875,1,0,0,0
"lismore rd",65.90625,1,0,0,0
"logan ave",1585.40625,4,4,0,0
"long branch ave",383.9375,1,0,0,0
"lower jarvis st",1037.25,2,1,0,0
"lower sherbourne st",231.6875,1,1,0,0
"lower simcoe st",265.03125,1,7,0,0
"lumbervale ave",10.71875,1,0,0,0
"lumsden ave",190.75,1,1,0,0
"m e of olympia dr",570.84375,1,0,0,0
"macpherson ave",40.78125,1,14,0,0
"madison ave",40.78125,1,18,0,0
"main st",1294.4375,3,0,0,0
"malvern st",90.1875,1,0,0,0
"mammoth hall trl",122.625,1,0,0,0
"manderley dr",326.5,1,0,0,0
"maniza rd",27.65625,1,0,0,0
"manning ave",356.15625,1,0,0,0
"margueretta st e",322.84375,1,0,0,0
"market garden mews",603.96875,1,0,0,0
"market st",974,3,0,0,0
"markham rd",1286.0625,2,0,0,0
"marlee ave",690.90625,1,0,0,0
"martin grove rd",975.625,1,0,0,0
"mayfield ave",153.78125,1,0,0,0
"mccowan rd",2440.15625,2,0,1,0
"mcgee st",392.28125,1,0,0,0
