street,avg_volume,lightCount
provost dr,136.53125,1
quebec ave,242.25,1
queen st,1605.375,3
queen st,1605.375,4
queen st ,605.53125,1
queen st e,847.78125,2
queen st w,1855.65625,2
queen st w,1855.65625,1
queens park cr e,426.28125,1
queens park cres w,312.78125,1
radine rd,107.15625,3
ralph st ,422.875,1
rathburn rd,141.375,1
redcliff blvd,23.0625,1
redpath ave,701.09375,1
redpath ave,701.09375,2
reeve ave,144.25,1
regent park blvd,205.34375,1
regent st,241.9375,1
reiner rd,113.21875,1
richmond st,706.1875,2
richmond st e,333.28125,1
ritchie ave,296.21875,1
river st,1573.4375,1
river st,1573.4375,4
river st ramp,282.125,1
robert st,418.4375,1
roehampton ave,384.625,1
rogers rd,1098.46875,2
rogers rd,1098.46875,1
roncesvalles ave,776.75,2
rosebank dr,148.1875,1
rosedale valley rd,556.875,1
rosehill ave,359.75,1
roselawn ave,155.59375,1
rosemount ave,613.5625,2
rosewell ave,411.0625,1
rosseau rd,30.15625,1
rotary dr,146.78125,1
roxborough st e,333.25,1
roxborough st w,353.1875,1
royal dr,431.75,1
royal york ct and royal york rd,467.9375,1
royal york rd,266.28125,1
roywood dr,29.53125,1
runnymede rd,1374.40625,2
runnymede rd,1374.40625,1
ruscica dr,107.9375,1
russell st,273.34375,1
rustic rd,610.875,1
ryding ave,334.59375,1
rylander blvd,519.1875,1
sackville st,362.9375,1
salem ave,307.125,1
salem ave n,97.03125,1
sammon ave,690.9375,2
sammon ave,690.9375,7
sandhurst cir,80.75,1
sandhurst cir w,209.71875,1
saranac blvd,553.375,1
saskatoon dr,18.75,1
scarborough golf club rd,1236.84375,2
scarlett rd,988.59375,2
scott rd,366.125,1
scott st,628.25,1
scott st,628.25,2
scrivener sq,356.0625,1
selwyn ave,36.8125,1
seneca hill dr,45.6875,1
sewells rd,265.90625,2
sharpecroft blvd,68.9375,1
shaughnessy blvd,700.96875,2
shaughnessy blvd,700.96875,5
shaver ave,377.59375,1
shaw st,413,1
sheppard ave,5018.75,4
sheppard ave,5018.75,2
sheppard ave e,479.75,1
sherbourne st,1041.375,2
shoppers drug mart m north of chelsea ave,391.90625,1
shuter st,1112.71875,1
shuter st,1112.71875,6
sibley ave,340.25,1
silkwood cres,47.03125,1
silverthorn ave,315.28125,1
silverthorn ave / st clair ave,351.3125,1
singer crt,136.53125,1
sloane ave,107.9375,1
somerset ave,51.65625,1
sorauren ave,457.78125,1
soudan ave,921.59375,4
south station st,357.21875,1
spadina ave,326.96875,1
spadina ave and fort york blvd,770.5,1
spadina rd,700.46875,3
spalding rd,27.65625,1
spenvalley dr,86.09375,1
st clair ave,4250.46875,3
st clair ave,4250.46875,4
st clair ave e,393.375,1
st clair ave w,1129.3125,2
st george st,273.34375,1
st georges rd,48.125,1
st helens ave,10.71875,1
st johns rd,122.1875,2
steeles ave,2062.8125,2
steeles ave,2062.8125,1
strachan ave,210.71875,1
sumach st,864.96875,4
summer dr,203.25,1
sunburst sq,32.4375,1
sunrise ave,330.40625,1
symington ave,884.96875,2
tapscott rd,124.4375,1
tedder st,24.25,1
terraview blvd,52.8125,1
the donway north,392.0625,1
the donway w,99.4375,1
the east mall,534,1
the esplanade,2798.21875,7
the esplanade,2798.21875,3
the queensway,803.6875,1
the west mall,166.6875,1
the westway,152.09375,1
the wynd,141.375,1
thermos rd,273.875,1
thirty-seventh st,433.875,1
thorncliffe park dr w,487.03125,1
three valleys dr,31.90625,1
thurodale ave,24.25,1
thyra ave,448.5,1
torrington dr,87.0625,1
townsend rd,634.625,1
trehorne dr,152.09375,1
trethewey dr,542.28125,2
trinity st,424.25,3
tubman ave,193.21875,1
tweedsmuir ave,519.96875,2
university ave,2154.03125,3
upton rd,341.21875,1
varna dr,601.25,1
vaughan rd,282.4375,1
victoria park ave,2971.28125,5
vine ave,25.875,1
w r allen rd,1287.6875,1
wales ave,39.53125,1
wallace ave,401.375,1
warden ave,3703.125,1
warden ave,3703.125,7
welland ave,123.6875,1
wellesley st,488.59375,1
wellesley st w,1055.3125,2
wellesworth dr,87.0625,1
wellington st,711.59375,1
westhumber blvd,231.15625,2
westmoreland ave n,95.5625,1
weston rd,1384.9375,3
westona st,209.5,1
westview blvd,116.46875,5
whitburn cres,580.8125,1
white heather blvd,80.75,1
wicklow dr e,33.96875,1
wicksteed ave,144,1
widdicombe hill blvd,334.28125,1
william r allen rd n,658.9375,1
william r allen rd s,641.59375,1
wilmington ave,625.65625,2
wilson ave,2797.21875,4
wilson heights blvd,633.65625,1
wilton st,699.125,2
wimbleton rd,48.125,1
windermere ave,1377.5,3
windsor ave,83.4375,2
winnett ave,89.84375,1
winona dr,436.4375,3
woodbine ave,1623.75,4
woodfield rd,566.375,3
woodfield rd.,286.40625,1
woodlawn ave,370.3125,1
woodycrest ave,33.84375,1
wyndcliff cres,60.65625,1
yatescastle dr,86.09375,1
yonge st,8642.09375,16
yonge st,8642.09375,3
york st,555.5,1
yorkview dr,266.28125,1
yorkville ave,217.5625,1
