"","station_id","checkin_total","checkout_total","street1","street2","at_ttc"
"379","7416",109,130,"Spadina Ave","Blue Jays Way",FALSE
"380","7417",209,196,"King St W","Jordan St",FALSE
"381","7418",425,442,"College Park - Yonge St Entrance","",FALSE
"382","7419",176,198,"Bloor St W","Huron St",FALSE
"383","7420",87,98,"Barton St","Howland St - SMART",FALSE
"384","7422",95,97,"Tyndall Ave","King St W - SMART",FALSE
"385","7423",43,66,"Merton St","Al Green Ln - SMART",FALSE
"386","7424",41,51,"Merton St","Mount Pleasant Rd",FALSE
"387","7425",8,7,"The Queensway at South Kingsway - SMART","",FALSE
"388","7426",58,63,"Fleet St","Garrison Rd (Fort York)",FALSE
"389","7427",136,111,"Northern Dancer Blvd","Lake Shore Blvd E",FALSE
"390","7428",73,71,"Woodbine Ave","Lake Shore Blvd E",FALSE
"391","7429",35,46,"Woodbine Subway Station - SMART","",TRUE
"392","7430",231,250,"Marilyn Bell Park Tennis Court","",FALSE
"393","7431",60,58,"Gerrard St E","Leslie St - SMART",FALSE
"394","7432",213,180,"Frederick St","King St E",FALSE
"395","7433",86,102,"Dundas St E","Boulton Ave - SMART",FALSE
"396","7434",11,13,"Via Italia","Mackay Ave - SMART",FALSE
"397","7435",229,250,"Rushton Rd","St Clair Ave W - SMART",FALSE
"398","7436",105,99,"Shaw St","Dupont St",FALSE
"399","7437",164,164,"Concord Ave","Bloor St W - SMART",FALSE
"400","7438",35,36,"High Park Subway - SMART","",FALSE
"401","7440",95,129,"Martin Goodman Trail","Ontario Dr",FALSE
"402","7441",72,90,"Pacific Ave","Glenlake Ave - SMART",FALSE
"403","7442",47,63,"Lonsdale Rd","Spadina Rd",FALSE
"404","7443",98,89,"Dundas St E","George St",FALSE
"405","7444",34,28,"Clendenan Ave","Rowland St - SMART",FALSE
"406","7445",87,81,"Eastwood Rd","Coxwell Ave - SMART",FALSE
"407","7446",35,33,"Orchard Park","",FALSE
"408","7447",11,16,"Trent Ave","Danforth Ave - SMART",FALSE
"409","7448",9,14,"Goodwood Park Ct","Dentonia Park - SMART",FALSE
"410","7449",42,36,"Cosburn Ave","Cedarvale Ave - SMART",FALSE
"411","7450",125,134,"Carlaw Ave","Danforth Ave - SMART",FALSE
"412","7451",117,86,"Western Battery Rd","Pirandello St - SMART",FALSE
"413","7452",221,253,"Bleecker St","St James Ave",FALSE
"414","7453",252,319,"Jarvis St","Maitland Pl",FALSE
"415","7454",90,91,"Pottery Rd","Lower Don River Trail",FALSE
"416","7455",61,46,"E.T. Seton Park (Eglinton Ave E","Leslie St)",FALSE
"417","7456",40,54,"Belmont St","Davenport Rd - SMART",FALSE
"418","7457",152,150,"Queen's Park Cres W","Hoskin Ave",FALSE
"419","7458",285,255,"Church St","Lombard St",FALSE
"420","7459",91,91,"St Clair Ave W","Winona Ave - SMART",FALSE
"421","7460",7,11,"High Park Outdoor Pool","",FALSE
"422","7461",54,59,"High Park Amphitheatre","",FALSE
"423","7462",223,247,"Richmond St E","Yonge St",FALSE
"424","7463",139,173,"Adelaide St W","Brant St",FALSE
"425","7465",61,77,"Russell Hill Rd","St Clair Ave W",FALSE
"426","7466",70,67,"Glendonwynne Ave","Bloor St W - SMART",FALSE
"427","7467",214,201,"Lower Simcoe St","Bremner Blvd",FALSE
"428","7468",105,103,"Front St","Simcoe St",FALSE
"429","7469",87,87,"Wellington St W","York St",FALSE
"430","7470",376,340,"York St","Lake Shore Blvd W",FALSE
"431","7471",15,8,"Lake Shore Blvd W","Louisa St",FALSE
"432","7472",161,121,"Dundas St E","Victoria St",FALSE
"433","7473",187,176,"Adelaide St W","Strachan Ave",FALSE
"434","7474",206,207,"Clarence Square","",FALSE
"435","7475",152,168,"Jarvis St","Richmond St E",FALSE
"436","7476",92,91,"Symington Ave","Dupont St - SMART",FALSE
"437","7477",21,22,"Antler St","Campbell Ave - SMART",FALSE
"438","7478",40,30,"Ellis Ave","The Queensway",FALSE
"439","7479",46,37,"Jane St","Bloor St W (Jane Subway Station)",TRUE
