"","id","stNumber","stName","type"
"641",7626309,2,"church st","Ring"
"642",7626310,107,"jarvis st","Ring"
"643",7626311,1,"yonge st","Ring"
"644",7626312,907,"kingston rd","Ring"
"645",7626313,2830,"danforth ave","Ring"
"646",7626314,2007,"dundas st w",NA
"647",7626315,398,"avenue rd",NA
"648",7626316,125,"bathurst st",NA
"649",7626317,8,"assiniboine rd","Rack"
"650",7626318,803,"mount pleasant rd","Ring"
"651",7626319,341,"oakwood ave",NA
"652",7626320,6,"church st","Ring"
"653",7626321,230,"queen st e",NA
"654",7626322,1123,"weston rd","Ring"
"655",7626323,1123,"weston rd","Ring"
"656",7626324,1475,"dupont st","Ring"
"657",7626325,1475,"dupont st","Ring"
"658",7626326,392,"bay st","Ring"
"659",7626327,2,"sussex ave",NA
"660",7626328,1433,"kingston rd","Ring"
"661",7626329,1774,"queen st e","Ring"
"662",7626330,1667,"queen st e","Ring"
"663",7626331,1667,"queen st e","Ring"
"664",7626332,1667,"queen st e","Ring"
"665",7626333,1667,"queen st e","Ring"
"666",7626334,1312,"st clair ave w","Ring"
"667",7626335,1286,"st clair ave w","Ring"
"668",7626336,1294,"st clair ave w","Ring"
"669",7626337,1285,"st clair ave w","Ring"
"670",7626338,40,"kenmark blvd",NA
"671",7626339,31,"brock ave","Rack"
"672",7626340,110,"yonge st","Ring"
"673",7626341,36,"yonge st",NA
"674",7626342,22,"western battery rd",NA
"675",7626343,759,"mount pleasant rd","Ring"
"676",7626344,589,"markham st","Ring"
"677",7626345,257,"college st","Ring"
"678",7626347,4850,"dundas st w",NA
"679",7626348,2210,"yonge st","Ring"
"680",7626349,328,"adelaide st w","Ring"
"681",7626350,1721,"bayview ave","Ring"
"682",7626351,1626,"bayview ave","Ring"
"683",7626352,101,"peter st","Ring"
"684",7626353,328,"adelaide st w","Ring"
"685",7626354,85,"eglinton ave e","Ring"
"686",7626355,97,"eglinton ave e","Ring"
