street1,street2,avg
dundas st,woodfield rd,221.6875
dundas st e,carroll st,219.59375
dundas st e,de grassi st,217.53125
dundas st e,don valley parkway n ramp,257.78125
dundas st e,parliament st,414.96875
dundas st e,pembroke st,216.3125
dundas st e,regent park blvd,205.34375
dundas st e,regent st,241.9375
dundas st e,tubman ave,193.21875
dundas st w,elizabeth st,515.46875
dundas st w,shoppers drug mart m north of chelsea ave,391.90625
dundas st w,university ave,694.4375
duplex ave,eglinton ave,346.3125
duplex ave,glengrove ave,105.15625
duplex ave,helendale ave,149.53125
duplex ave,montgomery ave,173.25
duplex ave,orchard view blvd,203.0625
duplex ave,roselawn ave,155.59375
dupont st,edwin ave,360.53125
dupont st,symington ave,518.8125
durant ave,sammon ave,55.71875
durie st,st johns rd,80.96875
duval dr,lawrence ave,641.46875
earlington ave,government rd,38.09375
east ave,lawrence ave e,102.9375
eastern ave,eastern ave diversion,234.5
eastern ave,mcgee st,392.28125
eastern ave,morse st,338.5
eastern ave,trinity st,204.5625
eastern ave,woodfield rd.,286.40625
edge park ave,harris park dr,37.875
eglinton ave,hanna rd,263.5625
eglinton ave,mccowan rd,540.84375
eglinton ave,midland ave,479.46875
eglinton ave,redpath ave,362.9375
eglinton ave e,markham rd,559.3125
ellesmere rd,military trl e,223.40625
englemount ave,lawrence ave w,577.25
erskine ave,mount pleasant rd,397.9375
erskine ave,redpath ave,118.40625
euclid ave,morrish rd,65.84375
evans ave,kipling ave,783.21875
evermede dr,roywood dr,29.53125
fallingbrook dr,fallingbrook rd,76.71875
fawcett trl and hupfield trl,sewells rd,100.375
faywood blvd,reiner rd,113.21875
faywood blvd,wilson ave,373.5625
felstead ave,monarch park ave,46.40625
finch ave w,glenborough park cres e,507.40625
finch ave w,grantbrook st,417.75
finch ave w,kendleton dr,262.40625
finch ave w,wilmington ave,435.125
first st,lake shore blvd,231.1875
florence ave,radine rd,41
floyd ave,logan ave,27.125
forbes ave,rogers rd,417.0625
frankdale ave,sammon ave,37.65625
franklin ave,radine rd,23.3125
frederick st,front st e,326.375
freeman st,warden ave,91.53125
front st,parliament st,400.46875
front st,princess st,402.625
front st,trinity st,87.25
front st,yonge st,517.8125
front st e,george st,429.0625
front st e,market st,281.90625
front st e,scott st,240.9375
galloway rd,kingston rd,583.75
gardens cres,westview blvd,28.03125
geary ave,lightbourn ave,27.9375
geary ave,ossington ave,218.71875
geary ave,salem ave n,97.03125
geary ave,somerset ave,51.65625
geary ave,westmoreland ave n,95.5625
george henry blvd,shaughnessy blvd,47.6875
george st,shuter st,148.65625
george st s,the esplanade,203.875
gerrard st,leslie st,258.96875
gerrard st,main st,510.09375
gerrard st,parliament st,414.96875
gerrard st,sumach st,261.78125
gerrard st,victoria park ave,565.375
gerrard st,woodfield rd,200.1875
gerrard st e,norwood rd,298.4375
gerrard st e,river st,489.59375
