street,avg_volume
provost dr,136.53125
quebec ave,242.25
queen st,1605.375
queen st ,605.53125
queen st e,847.78125
queen st w,1855.65625
queens park cr e,426.28125
queens park cres w,312.78125
radine rd,107.15625
ralph st ,422.875
rathburn rd,141.375
redcliff blvd,23.0625
redpath ave,701.09375
reeve ave,144.25
regent park blvd,205.34375
regent st,241.9375
reiner rd,113.21875
richmond st,706.1875
richmond st e,333.28125
ritchie ave,296.21875
river st,1573.4375
river st ramp,282.125
robert st,418.4375
roehampton ave,384.625
rogers rd,1098.46875
roncesvalles ave,776.75
rosebank dr,148.1875
rosedale valley rd,556.875
rosehill ave,359.75
roselawn ave,155.59375
rosemount ave,613.5625
rosewell ave,411.0625
rosseau rd,30.15625
rotary dr,146.78125
roxborough st e,333.25
roxborough st w,353.1875
royal dr,431.75
royal york ct and royal york rd,467.9375
royal york rd,266.28125
roywood dr,29.53125
runnymede rd,1374.40625
ruscica dr,107.9375
russell st,273.34375
rustic rd,610.875
ryding ave,334.59375
rylander blvd,519.1875
sackville st,362.9375
salem ave,307.125
salem ave n,97.03125
sammon ave,690.9375
sandhurst cir,80.75
sandhurst cir w,209.71875
saranac blvd,553.375
saskatoon dr,18.75
scarborough golf club rd,1236.84375
scarlett rd,988.59375
scott rd,366.125
scott st,628.25
scrivener sq,356.0625
selwyn ave,36.8125
seneca hill dr,45.6875
sewells rd,265.90625
sharpecroft blvd,68.9375
shaughnessy blvd,700.96875
shaver ave,377.59375
shaw st,413
sheppard ave,5018.75
sheppard ave e,479.75
sherbourne st,1041.375
shoppers drug mart m north of chelsea ave,391.90625
shuter st,1112.71875
sibley ave,340.25
silkwood cres,47.03125
silverthorn ave,315.28125
silverthorn ave / st clair ave,351.3125
singer crt,136.53125
sloane ave,107.9375
somerset ave,51.65625
sorauren ave,457.78125
soudan ave,921.59375
south station st,357.21875
spadina ave,326.96875
spadina ave and fort york blvd,770.5
spadina rd,700.46875
spalding rd,27.65625
spenvalley dr,86.09375
st clair ave,4250.46875
st clair ave e,393.375
st clair ave w,1129.3125
st george st,273.34375
st georges rd,48.125
st helens ave,10.71875
st johns rd,122.1875
steeles ave,2062.8125
strachan ave,210.71875
sumach st,864.96875
summer dr,203.25
sunburst sq,32.4375
sunrise ave,330.40625
symington ave,884.96875
tapscott rd,124.4375
tedder st,24.25
terraview blvd,52.8125
the donway north,392.0625
the donway w,99.4375
the east mall,534
the esplanade,2798.21875
the queensway,803.6875
the west mall,166.6875
the westway,152.09375
the wynd,141.375
thermos rd,273.875
thirty-seventh st,433.875
thorncliffe park dr w,487.03125
three valleys dr,31.90625
thurodale ave,24.25
thyra ave,448.5
torrington dr,87.0625
townsend rd,634.625
trehorne dr,152.09375
trethewey dr,542.28125
trinity st,424.25
tubman ave,193.21875
tweedsmuir ave,519.96875
university ave,2154.03125
upton rd,341.21875
varna dr,601.25
vaughan rd,282.4375
victoria park ave,2971.28125
vine ave,25.875
w r allen rd,1287.6875
wales ave,39.53125
wallace ave,401.375
warden ave,3703.125
welland ave,123.6875
wellesley st,488.59375
wellesley st w,1055.3125
wellesworth dr,87.0625
wellington st,711.59375
westhumber blvd,231.15625
westmoreland ave n,95.5625
weston rd,1384.9375
westona st,209.5
westview blvd,116.46875
whitburn cres,580.8125
white heather blvd,80.75
wicklow dr e,33.96875
wicksteed ave,144
widdicombe hill blvd,334.28125
william r allen rd n,658.9375
william r allen rd s,641.59375
wilmington ave,625.65625
wilson ave,2797.21875
wilson heights blvd,633.65625
wilton st,699.125
wimbleton rd,48.125
windermere ave,1377.5
windsor ave,83.4375
winnett ave,89.84375
winona dr,436.4375
woodbine ave,1623.75
woodfield rd,566.375
woodfield rd.,286.40625
woodlawn ave,370.3125
woodycrest ave,33.84375
wyndcliff cres,60.65625
yatescastle dr,86.09375
yonge st,8642.09375
york st,555.5
yorkview dr,266.28125
yorkville ave,217.5625
