location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4889,BLOOR ST AT DURIE ST (PX 1479),-79.4790829988368,43.6505009995231,2,13466857,1479,35039,2017-01-12
4890,BLOOR ST AT INDIAN RD (PX 1717),-79.4568930014137,43.6553949984162,2,13466037,1717,35025,2017-01-12
4891,BLOOR ST AT PERTH AVE,-79.448796343,43.657078961,2,13465751,,29705,2013-03-26
4892,BLOOR ST W AT WINDERMERE AVE (PX 332),-79.4804689946355,43.6502050009224,2,13466917,332,35543,2017-01-19
4893,BLOOR ST AT ROBERT ST & WALMER RD (PX 2083),-79.405354000409,43.6663579979894,2,13464161,2083,36495,2018-01-11
4894,BLOOR ST AT ST GEORGE ST (PX 271),-79.399835995088,43.6675159985085,2,13463947,271,38281,2019-01-26
4895,BAY ST AT BLOOR ST W (PX 70),-79.3895069992422,43.6696689972128,2,13463548,70,42257,2021-08-12
4896,BLOOR ST AT NEILSON DR (PX 2210),-79.5672290048407,43.6344499969643,2,13469038,2210,31363,2014-09-23
4897,BLOOR ST AT ROYAL YORK RD (PX 338),-79.5113630013473,43.6473619977117,2,13467463,338,38111,2018-12-20
4898,DANFORTH AVE AT PHARMACY AVE (PX 356),-79.2833779990601,43.6923299956085,2,13459232,356,42315,2021-08-19
4899,CAMBRIDGE AVE AT DANFORTH AVE,-79.360448037,43.675903959,2,13462430,,9003,2001-01-24
4900,CARLAW AVE AT DANFORTH AVE (PX 344),-79.3473450049775,43.6784600010087,2,13461936,344,30673,2014-03-17
4901,DANFORTH AVE AT GREENWOOD AVE (PX 348),-79.3323819969191,43.6814840035034,2,13461356,348,42357,2021-08-19
4902,DANFORTH AVE AT WESTLAKE AVE (PX 1267),-79.3049950050206,43.6874809975389,2,13460172,1267,32445,2015-05-07
4903,DUNDAS ST AT KEELE ST (PX 188),-79.4645570018453,43.6654040041385,2,13464438,188,42037,2021-06-24
4904,KEELE ST AT TILBURY DR (PX 598),-79.4829790044332,43.7303429971724,2,13453646,598,33235,2016-03-08
4905,GLENLAKE AVE AT KEELE ST (PX 575),-79.4614899985191,43.6583070012785,2,13465564,575,42179,2021-06-24
4906,KEELE ST AT ROGERS RD (PX 394),-79.4715979979489,43.6821360027129,2,13461587,394,33515,2016-04-16
4907,KEELE ST AT WILSON AVE (PX 597),-79.4820690045095,43.7266419991172,2,13454197,597,36217,2017-10-03
4908,DIANA DR AT KEELE ST (PX 1548),-79.4855570057166,43.7410820041101,2,13451959,1548,37695,2018-09-11
4909,KEELE ST AT TORO RD (PX 1173),-79.4900820002435,43.7598279958255,2,13449077,1173,33127,2016-02-23
4910,KEELE ST AT PETRO CANADA & 160M S OF THE POND RD (PX 1545),-79.4927900022927,43.7706900032692,1,439282,1545,33227,2016-02-23
4911,MIDLAND AVE AT SILVER STAR BLVD & SOUTH SHIELDS AVE (PX 1494),-79.288799994405,43.8070499960672,2,13442762,1494,34947,2016-12-14
4912,BROADBENT AVE AT MIDLAND AVE & WAINFLEET RD (PX 1719),-79.2599719964207,43.7389359980513,2,13451799,1719,35367,2016-12-14
4913,DORCOT AVE AT MIDLAND AVE (PX 1081),-79.2674470015301,43.7579529993223,2,13448907,1081,35369,2016-12-14
4914,MIDLAND AVE AT MIDWEST RD (PX 1029),-79.2705569965135,43.7658800006036,2,13447807,1029,33505,2016-04-05
4915,MIDLAND AVE AT PROGRESS AVE (PX 691),-79.2729859942397,43.7729650001435,2,13446743,691,34955,2016-12-10
4916,MIDLAND AVE AT PITFIELD RD (PX 1242),-79.2761379986294,43.7805969986584,2,13445764,1242,30167,2013-07-24
4917,FERMANAGH AVE AT HIGH PARK BLVD & RONCESVALLES AVE (PX 832),-79.4490590015213,43.6463370014055,2,13467486,832,30081,2013-07-11
4918,HOWARD PARK AVE AT RONCESVALLES AVE (PX 833),-79.451069003337,43.6515149956083,2,13466640,833,40723,2020-03-03
4919,DAVENPORT RD AT LAUGHTON AVE (PX 1022),-79.4557940031783,43.6703360043937,2,13463602,1022,37435,2018-06-20
4920,CALEDONIA RD AT GLENCAIRN AVE (PX 1301),-79.4647999963697,43.7046500004188,2,13457583,1301,36821,2018-03-08
4921,CALEDONIA RD AT ORFUS RD (PX 1302),-79.4681570041027,43.7177559987539,2,13455455,1302,36809,2018-03-08
4922,APPLEFIELD DR AT BRIMLEY RD & BERNADINE ST (PX 2101),-79.2607820007328,43.7683270013345,2,13447415,2101,35321,2016-12-15
4923,DUPONT ST AT LANSDOWNE AVE (PX 844),-79.4464609943321,43.6667250002628,2,13464191,844,34057,2016-06-11
4924,DUPONT ST AT EMERSON AVE,-79.444179688,43.667213766,2,13464092,,31547,2014-11-17
4925,DUPONT ST AT SHAW ST (PX 900),-79.426610999977,43.6705950032903,2,13463468,900,33703,2016-04-28
4926,DUPONT ST AT LOBLAWS ENTRANCE,-79.4053602468614,43.675237975823,1,1141235,,22605,2008-06-02
4927,BRIMLEY RD AT KINGSTON RD (PX 164),-79.2403630061466,43.718225999384,2,13454867,164,40671,2020-07-25
4928,BRIMLEY RD AT ST CLAIR AVE E (PX 497),-79.2414479981107,43.7208749966146,2,13454486,497,40437,2020-08-27
4929,BRIMLEY RD AT LAWRENCE AVE (PX 414),-79.2553669940847,43.7535260020301,2,13449501,414,40557,2020-08-27
4930,BRIMLEY RD AT HUNTINGWOOD DR (PX 1170),-79.2733659976785,43.7984070025272,2,13443575,1170,42025,2021-08-25
4931,BRIMLEY RD AT MCNICOLL AVE (PX 1510),-79.2818679985953,43.8156699977531,2,13442140,1510,35085,2017-01-09
4932,BRIMLEY RD AT EAGLEDANCE DR & PORT ROYAL N TRL (PX 1634),-79.2860540051703,43.8249869997844,2,13441762,1634,35077,2017-01-09
4933,JAMESON AVE AT SPRINGHURST AVE,-79.434781562,43.633952254,2,13468897,,34985,2016-12-22
4934,LANSDOWNE AVE AT SEAFORTH AVE (PX 2347),-79.4374960023452,43.6427149994479,2,13467935,2347,37493,2018-06-21
4935,COLLEGE ST AT LANSDOWNE AVE (PX 831),-79.439999003129,43.6510120000765,2,13466699,831,38923,2019-05-23
4936,NAIRN AVE AT ROGERS RD (PX 1596),-79.4517050040611,43.6841840039252,2,13461160,1596,30703,2014-02-24
4937,HERRON AVE AT ST CLAIR AVE (PX 641),-79.2860859966581,43.7109199967128,2,13456152,641,34965,2016-12-14
4938,SANTAMONICA BLVD AT ST CLAIR AVE,-79.276558804,43.713044601,2,13455771,2407,36037,2017-08-03
4939,FERNDALE AVE AT ST CLAIR AVE & TTC BUS LOOP (PX 1930),-79.3914920054002,43.6886470029763,2,13460187,1930,37155,2018-03-20
4940,POPLAR PLAINS RD AT ST. CLAIR AVE,-79.403883192,43.686144928,2,13460681,2454,32595,2015-06-15
4941,DUFFERIN ST AT SPRINGHURST AVE,-79.425804771,43.634892802,2,13468779,,33567,2016-04-26
4942,DUFFERIN ST AT DUFFERIN PARK AVE (PX 1063),-79.4343130032908,43.6571220006028,2,13465703,1063,33897,2016-04-27
4943,DUFFERIN MALL AT DUFFERIN ST (PX 606),-79.4335679990949,43.655209997992,2,30057152,606,33899,2016-04-28
4944,ASCOT AVE AT DUFFERIN ST (PX 1767),-79.4439540000871,43.6801490042936,2,13461876,1767,33639,2016-04-12
4945,BRIAR HILL AVE AT DUFFERIN ST (PX 1544),-79.4521199994951,43.7023510028313,2,13457938,1544,33627,2016-04-11
4946,DUFFERIN ST AT WINGOLD AVE (PX 894),-79.4524749977227,43.7038250022106,2,13457697,894,33625,2016-04-11
4947,DUFFERIN ST AT LAWRENCE AVE (PX 426),-79.4547510017973,43.7140860038295,2,13456031,426,40815,2020-02-29
4948,DUFFERIN ST AT WILSON AVE (PX 617),-79.4589180046136,43.7320919962188,2,13453281,617,33653,2016-04-04
4949,DUFFERIN ST AT MARTIN ROSS AVE (PX 1197),-79.4684679940788,43.7751929997223,2,13446837,1197,34891,2016-11-30
4950,BUSHBY DR AT MCCOWAN RD & TOWN CENTRE CRT (PX 1356),-79.2522389938094,43.7745740003722,2,13446506,1356,32275,2015-05-02
4951,MCCOWAN RD AT ST ANDREWS RD (PX 996),-79.2468509975797,43.7600790009695,2,13448559,996,32293,2015-04-29
4952,ELLESMERE RD AT MCCOWAN RD (PX 699),-79.2514979952033,43.7721419966215,2,13446827,699,32277,2015-05-02
4953,HUNTINGWOOD DR AT MCCOWAN RD & MIDDLEFIELD RD (PX 1243),-79.2625720013197,43.7986729986515,2,13443525,1243,32199,2015-05-02
4954,ALTON TOWERS S CIR AT MCCOWAN RD (PX 1572),-79.2739869964627,43.8225040018327,2,13441833,1572,32265,2015-05-04
4955,ALTON TOWERS N CIR AT MCCOWAN RD (PX 1539),-79.2759079992737,43.8268960015146,2,13441709,1539,32263,2015-05-04
4956,WELLESLEY ST AT YONGE ST (PX 39),-79.3845949942162,43.6649370033789,2,13464342,39,34713,2016-11-05
4957,OVERLEA BLVD AT THORNCLIFFE PARK DR W (PX 680),-79.3498770052398,43.7050060023866,2,13457237,680,42005,2021-08-31
4958,MARLEE AVE AT RIDELLE AVE (PX 1094),-79.4417459964851,43.7038510022958,2,13457669,1094,38979,2019-06-13
4959,QUEEN ST AT SHAW ST (PX 554),-79.4163030009436,43.6447250007574,2,13467650,554,38495,2019-02-26
4960,YORKDALE RD AT YORKDALE N PRKG LOT & 335M E OF DUFFERIN (PX 1476),-79.4539499980476,43.7282599961509,1,4940064,1476,21831,2007-12-03
4961,LAWRENCE AVE AT W R ALLEN RD E TCS (PX 1158),-79.4432180007587,43.7163160040524,2,13455626,1158,36765,2018-03-08
4962,MILLWOOD RD AT SUTHERLAND DR (PX 684),-79.3643889956283,43.7035739990321,2,13457532,684,29323,2012-10-23
4963,# 3379 BAYVIEW AVE AT BAYVIEW AVE,-79.3948076076977,43.7976140725709,1,9531674,,7850,1999-04-28
4964,DONLANDS AVE AT MILLWOOD RD & PAPE AVE (PX 642),-79.3492669961559,43.6972029984175,2,13458477,642,35833,2017-04-22
4965,CHRISTIE ST AT DUPONT ST (PX 841),-79.4215439971995,43.6716220019706,2,13463277,841,36813,2018-02-27
4966,COLLEGE ST AT EUCLID AVE (PX 1143),-79.4114080013647,43.6557139992128,2,13465882,1143,35151,2017-01-12
4967,DEAUVILLE LANE AT ST DENNIS DR (PX 2522),-79.3314060033327,43.7183599979621,2,13455059,2522,37911,2018-12-12
4968,BIRCHMOUNT RD AT EGLINTON AVE (PX 458),-79.2778589957775,43.7299619973947,2,13453221,458,26311,2010-09-13
4969,CALEDONIA RD AT EGLINTON AVE (PX 465),-79.4622140047522,43.6930300016025,2,13459569,465,36857,2018-03-24
4970,EGLINTON AVE AT SUTHERLAND DR (PX 1648),-79.3672279980294,43.7130779998741,2,13455990,1648,37419,2018-05-31
4971,EGLINTON AVE E AT RUMSEY RD (PX 89),-79.3696590022168,43.7125730006214,2,13456085,89,38895,2019-05-15
4972,BRENTCLIFFE RD AT EGLINTON AVE (PX 87),-79.3598239971534,43.7146030015274,2,13455720,87,27077,2011-03-16
4973,COMMERCE BLVD AT EGLINTON  AVE (PX 1481),-79.5911481287536,43.6624483187301,2,14303953,1481,38121,2018-12-18
4974,CENTENNIAL PARK BV AT EGLINTON AVE & ORBITOR DR (PX 1484),-79.598410002409,43.6558340040247,2,13466247,1484,38119,2018-12-18
4975,EGLINTON AVE AT MATHESON BLVD (PX 1730),-79.5865609998932,43.6682159985361,2,13973964,1730,38123,2018-12-18
4976,BLACKTHORN AVE AT EGLINTON AVE (PX 880),-79.46537899618,43.6919400020931,2,13459781,880,37383,2018-06-12
4977,EGLINTON AVE AT GLENHOLME AVE (PX 1074),-79.4453129993792,43.6967640027355,2,13458815,1074,29407,2012-10-22
4978,ATLAS AVE AT EGLINTON AVE & FAIRLEIGH CRES,-79.438324478,43.698276521,2,13458511,,13815,2004-03-22
4979,EGLINTON AVE AT ROSTREVOR RD (PX 438),-79.4288299950441,43.7002969971256,2,13458180,438,29879,2013-05-21
4980,EGLINTON AVE AT LLOYD MANOR RD & WIDDICOMBE HILL BLVD (PX 1278),-79.5576699991271,43.675622000971,2,13462936,1278,38129,2018-12-18
4981,EGLINTON AVE AT ROYAL YORK RD (PX 781),-79.5266070032159,43.6823340043866,2,13461680,781,33519,2016-04-16
4982,KEELE ST AT LAWRENCE AVE (PX 428),-79.4780619980887,43.7086589982404,2,13456952,428,41565,2021-03-16
4983,BATHURST ST AT HEATHDALE RD,-79.420730495,43.68914094,2,13460171,,37709,2018-09-13
4984,BATHURST ST AT WEMBLEY RD,-79.425675224,43.701600148,2,13457996,,6102,1996-02-29
4985,BATHURST ST AT COVINGTON RD & DOUGLAS AVE (PX 2075),-79.43013999948,43.7208800006556,2,13454874,2075,28583,2012-03-29
4986,BATHURST ST AT BEDFORD PARK AVE,-79.430311062,43.721622085,2,13454776,,6105,1996-08-19
4987,BATHURST ST AT DELHI AVE,-79.434661384,43.740001245,2,13452030,,28711,2012-05-02
4988,BATHURST ST AT SHEPPARD AVE (PX 672),-79.4384810044369,43.7554580028968,2,13449607,672,40477,2020-08-27
4989,BATHURST ST AT MASCOT PL & STAFFORD RD,-79.442139658,43.770375369,2,13447497,,31329,2014-08-19
4990,ANTIBES DR AT BATHURST ST & DREWRY AVE (PX 676),-79.4448339951444,43.7810380028486,2,13446031,676,31959,2015-03-23
4991,BERNARD AVE AT SPADINA RD (PX 1003),-79.4060409960654,43.67218799762,2,13463165,1003,35591,2017-03-09
4992,HEATH ST AT SPADINA RD (PX 1376),-79.4120450055365,43.6867760030999,2,13460582,1376,38189,2019-01-15
4993,EGLINTON AVE AT SPADINA RD (PX 99),-79.4191079962572,43.7023509956401,2,13457863,99,29409,2012-10-29
4994,BRIMORTON DR AT SCARBOROUGH GOLF CLUB RD (PX 977),-79.2186839970261,43.7698109960212,2,13447083,977,26335,2010-09-29
